designator,quantity,value,pack,mpn,mount_type
"C1, C6, C8",3,10uF,C_1206_3216Metric,,smt
"C10, C2, C3, C4, C5, C7, C9",7,100nF,C_1206_3216Metric,,smt
"D1, D2",2,LED,LED_1206_3216Metric,,smt
D3,1,1N5819,D_SOD-123,,smt
IC1,1,E22-900M22S,E22-900M22S,,smt
J1,1,Font Conector,PinHeader_1x02_P2.54mm_Vertical,,tht
J10,1,PGM,PinHeader_1x06_P2.54mm_Vertical,,tht
J2,1,USB_B_Micro,USB_Micro-B_GCT_USB3076-30-A,,smt
J3,1,Batery Conector,PinHeader_1x02_P2.54mm_Vertical,,tht
"J4, J6",2,I2C_Con,PinHeader_2x04_P2.54mm_Vertical,,tht
J5,1,ADC_DAC Pins,PinSocket_1x10_P2.54mm_Vertical,,tht
J9,1,Display_I2C,PinHeader_1x04_P2.54mm_Vertical,,tht
Q1,1,FS8205A,FS8205A,,smt
Q2,1,IRF4905,TO-220-3_Vertical,,tht
R1,1,1.2k,R_1206_3216Metric,,smt
"R10, R5, R6, R9",4,15K,R_1206_3216Metric,,smt
"R2, R3",2,1k,R_1206_3216Metric,,smt
R4,1,1K,R_1206_3216Metric,,smt
R7,1,100R,R_1206_3216Metric,,smt
R8,1,10K,R_1206_3216Metric,,smt
SW1,1,BTN1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,,smt
SW2,1,BTN2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,,smt
SW3,1,RESET,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,,smt
U1,1,ESP32-S2-WROOM,ESP32-S2-WROOM,,smt
U2,1,TP4056,SOP127P600X175-9N,,smt
U3,1,DW01A,DW01A,,smt
U4,1,HT7833-1-SOT89,SOT-89-3,,smt
